sample,feature,n_breaks,rss,bic,lwz_like,break_indices,break_dates
oos_2020_2023,strategy_total_r,0,0.08715432407440267,-299.07004231849265,-297.81089083368727,,
oos_2020_2023,strategy_total_r,1,0.0804514101225415,-299.0401366342543,-296.52183366464357,11,2020-11-30
oos_2020_2023,strategy_total_r,2,0.07413266591600587,-299.0951978866593,-295.3177434322432,"20,35","2021-08-31,2022-11-30"
oos_2020_2023,strategy_vol_3m,0,0.24009313441953084,-250.429409312732,-249.17025782792663,,
oos_2020_2023,strategy_vol_3m,1,0.21486970846196252,-251.8859717035881,-249.36766873397735,29,2022-05-31
oos_2020_2023,strategy_vol_3m,2,0.1204117967014486,-275.8122585304946,-272.0348040760785,"33,39","2022-09-30,2023-03-31"
oos_2020_2023,strategy_vol_6m,0,0.12359816724843997,-282.3009864961367,-281.04183501133133,,
oos_2020_2023,strategy_vol_6m,1,0.09330969270461248,-291.9231483745083,-289.40484540489757,33,2022-09-30
oos_2020_2023,strategy_vol_6m,2,0.031285092639652484,-340.50549677327774,-336.72804231886164,"33,39","2022-09-30,2023-03-31"
oos_2020_2023,market_vol_3m,0,0.4632050148846403,-218.88655276904012,-217.62740128423476,,
oos_2020_2023,market_vol_3m,1,0.4164657420446159,-220.12089799385126,-217.60259502424051,6,2020-06-30
oos_2020_2023,market_vol_3m,2,0.33917083312702423,-226.10411105909253,-222.32665660467643,"13,20","2021-01-31,2021-08-31"
oos_2020_2023,market_vol_6m,0,0.23818663138787532,-250.81208337407145,-249.5529318892661,,
oos_2020_2023,market_vol_6m,1,0.1923974158509103,-257.1884707562776,-254.67016778666684,8,2020-08-31
oos_2020_2023,market_vol_6m,2,0.1576092666905366,-262.89058810633276,-259.11313365191666,"14,24","2021-02-28,2021-12-31"
oos_2020_2023,momentum_factor_r,0,0.03963650106568369,-336.8906798895027,-335.6315284046973,,
oos_2020_2023,momentum_factor_r,1,0.0382094396813568,-334.77953522909246,-332.26123225948174,34,2022-10-31
oos_2020_2023,momentum_factor_r,2,0.036657731211983305,-332.8983299280421,-329.120875473626,"19,34","2021-07-31,2022-10-31"
oos_2020_2023,momentum_factor_trailing_3m,0,0.09428540712903322,-295.29503234841457,-294.0358808636092,,
oos_2020_2023,momentum_factor_trailing_3m,1,0.08787186323266344,-294.80527651501245,-292.28697354540174,36,2022-12-31
oos_2020_2023,momentum_factor_trailing_3m,2,0.07351193592889178,-299.49880512400995,-295.72135066959385,"21,30","2021-09-30,2022-06-30"
oos_2020_2023,momentum_factor_trailing_6m,0,0.1130193160731365,-286.5958812492066,-285.33672976440124,,
oos_2020_2023,momentum_factor_trailing_6m,1,0.09785671471134626,-289.63929282163417,-287.12098985202346,20,2021-08-31
oos_2020_2023,momentum_factor_trailing_6m,2,0.05080089903581059,-317.2364243868058,-313.4589699323897,"21,34","2021-09-30,2022-10-31"
