sample,feature,criterion,selected_n_breaks,segment,start,end,n_months,mean_monthly,vol_monthly,ann_mean_approx,ann_vol_approx,min_monthly,max_monthly
full_2015_2023,momentum_factor_r,lwz_like,0,1,2015-07-31,2023-12-31,102,0.00163612647698125,0.02703534986251005,0.019633517723775,0.09365319912453533,-0.08031127678401118,0.07584481364189877
full_2015_2023,momentum_factor_trailing_3m,bic,4,1,2015-07-31,2016-01-31,7,0.03780837217794294,0.040551585679371754,0.45370046613531523,0.14047481344830873,-0.0056219362898850544,0.10727216925533067
full_2015_2023,momentum_factor_trailing_3m,bic,4,2,2016-02-29,2017-03-31,14,-0.025661208405517926,0.03236437911541984,-0.3079345008662151,0.11211349796665647,-0.0959926404895366,0.02550710138616874
full_2015_2023,momentum_factor_trailing_3m,bic,4,3,2017-04-30,2021-09-30,54,0.007959992307509085,0.036226347499419935,0.09551990769010901,0.12549174888328216,-0.09218281125271954,0.08013759986996494
full_2015_2023,momentum_factor_trailing_3m,bic,4,4,2021-10-31,2022-06-30,9,0.047856869728099105,0.03983689182913864,0.5742824367371893,0.13799904132738716,-0.010618650029359356,0.10488647899658132
full_2015_2023,momentum_factor_trailing_3m,bic,4,5,2022-07-31,2023-12-31,18,-0.00665917336405111,0.03947903901543851,-0.07991008036861331,0.13675940281746696,-0.08988370018120184,0.07506415398055499
full_2015_2023,momentum_factor_trailing_3m,lwz_like,0,1,2015-07-31,2023-12-31,102,0.00633419587425306,0.04129043905040106,0.07601035049103672,0.1430342766042413,-0.0959926404895366,0.10727216925533067
full_2015_2023,momentum_factor_trailing_6m,bic,4,1,2015-07-31,2016-02-29,8,0.05497402250594341,0.0284695448880741,0.6596882700713209,0.09862139642901428,0.010606212375579682,0.10104715566421452
full_2015_2023,momentum_factor_trailing_6m,bic,4,2,2016-03-31,2017-04-30,14,-0.047021475475396875,0.022760926653991976,-0.5642577057047625,0.07884616278412557,-0.07528313143291532,-0.010651467542133086
full_2015_2023,momentum_factor_trailing_6m,bic,4,3,2017-05-31,2021-11-30,55,0.016287336877154595,0.04497965708049048,0.19544804252585513,0.1558141027408694,-0.08641273704505792,0.1549285531845821
full_2015_2023,momentum_factor_trailing_6m,bic,4,4,2021-12-31,2022-10-31,11,0.07051149595409338,0.02270455972320314,0.8461379514491205,0.0786509020081396,0.03916180785650125,0.10653007098848333
full_2015_2023,momentum_factor_trailing_6m,bic,4,5,2022-11-30,2023-12-31,14,-0.01868388507570424,0.026207791093534737,-0.22420662090845087,0.09078645145630654,-0.0671682571302129,0.014241883052359627
full_2015_2023,momentum_factor_trailing_6m,lwz_like,4,1,2015-07-31,2016-02-29,8,0.05497402250594341,0.0284695448880741,0.6596882700713209,0.09862139642901428,0.010606212375579682,0.10104715566421452
full_2015_2023,momentum_factor_trailing_6m,lwz_like,4,2,2016-03-31,2017-04-30,14,-0.047021475475396875,0.022760926653991976,-0.5642577057047625,0.07884616278412557,-0.07528313143291532,-0.010651467542133086
full_2015_2023,momentum_factor_trailing_6m,lwz_like,4,3,2017-05-31,2021-11-30,55,0.016287336877154595,0.04497965708049048,0.19544804252585513,0.1558141027408694,-0.08641273704505792,0.1549285531845821
full_2015_2023,momentum_factor_trailing_6m,lwz_like,4,4,2021-12-31,2022-10-31,11,0.07051149595409338,0.02270455972320314,0.8461379514491205,0.0786509020081396,0.03916180785650125,0.10653007098848333
full_2015_2023,momentum_factor_trailing_6m,lwz_like,4,5,2022-11-30,2023-12-31,14,-0.01868388507570424,0.026207791093534737,-0.22420662090845087,0.09078645145630654,-0.0671682571302129,0.014241883052359627
