config_id,median_rank,mean_rank,worst_rank,folds_covered,top3_hits,top5_hits,top10_hits
0.1|21|False|252|ME|ME|equally_weighted|long_short|simple|True|21,89.0,73.8,127.0,5,0,0,0
0.1|21|True|252|ME|ME|equally_weighted|long_short|simple|True|21,89.0,73.8,127.0,5,0,0,0
0.1|42|False|504|ME|ME|equally_weighted|long_short|simple|True|21,89.0,85.0,97.0,5,0,0,0
0.1|42|True|504|ME|ME|equally_weighted|long_short|simple|True|21,89.0,85.0,97.0,5,0,0,0
0.12|42|False|252|ME|ME|equally_weighted|long_short|simple|True|21,91.0,71.8,111.0,5,0,0,0
0.12|42|True|252|ME|ME|equally_weighted|long_short|simple|True|21,91.0,71.8,111.0,5,0,0,0
0.1|84|False|252|ME|ME|equally_weighted|long_short|simple|True|21,95.0,82.6,119.0,5,0,0,0
0.1|84|True|252|ME|ME|equally_weighted|long_short|simple|True|21,95.0,82.6,119.0,5,0,0,0
0.2|42|False|126|ME|ME|equally_weighted|long_short|simple|True|21,99.0,68.2,121.0,5,1,1,1
0.2|42|True|126|ME|ME|equally_weighted|long_short|simple|True|21,99.0,68.2,121.0,5,1,1,1
0.1|63|False|252|ME|ME|equally_weighted|long_short|simple|True|21,99.0,87.8,123.0,5,0,0,0
0.1|63|True|252|ME|ME|equally_weighted|long_short|simple|True|21,99.0,87.8,123.0,5,0,0,0
0.1|42|False|252|ME|ME|equally_weighted|long_short|simple|True|21,103.0,82.6,117.0,5,0,0,0
0.1|42|True|252|ME|ME|equally_weighted|long_short|simple|True|21,103.0,82.6,117.0,5,0,0,0
