config_id,fold1_test2015,fold2_test2016,fold3_test2017,fold4_test2018,fold5_test2019
0.3|21|False|504|ME|ME|equally_weighted|long_short|simple|True|21,35.0,67.0,43.0,63.0,27.0
0.3|21|False|756|ME|ME|equally_weighted|long_short|simple|True|21,31.0,123.0,11.0,53.0,53.0
0.3|21|True|126|ME|ME|equally_weighted|long_short|simple|True|21,107.0,39.0,65.0,11.0,107.0
0.3|21|True|252|ME|ME|equally_weighted|long_short|simple|True|21,59.0,51.0,77.0,51.0,51.0
0.3|21|True|504|ME|ME|equally_weighted|long_short|simple|True|21,35.0,67.0,43.0,63.0,27.0
0.3|21|True|756|ME|ME|equally_weighted|long_short|simple|True|21,31.0,123.0,11.0,53.0,53.0
0.3|42|False|126|ME|ME|equally_weighted|long_short|simple|True|21,77.0,83.0,127.0,1.0,7.0
0.3|42|False|252|ME|ME|equally_weighted|long_short|simple|True|21,91.0,63.0,75.0,73.0,55.0
0.3|42|False|504|ME|ME|equally_weighted|long_short|simple|True|21,53.0,117.0,49.0,89.0,19.0
0.3|42|False|756|ME|ME|equally_weighted|long_short|simple|True|21,25.0,125.0,37.0,47.0,21.0
0.3|42|True|126|ME|ME|equally_weighted|long_short|simple|True|21,77.0,83.0,127.0,1.0,7.0
0.3|42|True|252|ME|ME|equally_weighted|long_short|simple|True|21,91.0,63.0,75.0,73.0,55.0
0.3|42|True|504|ME|ME|equally_weighted|long_short|simple|True|21,53.0,117.0,49.0,89.0,19.0
0.3|42|True|756|ME|ME|equally_weighted|long_short|simple|True|21,25.0,125.0,37.0,47.0,21.0
0.3|63|False|126|ME|ME|equally_weighted|long_short|simple|True|21,73.0,23.0,125.0,15.0,13.0
0.3|63|False|252|ME|ME|equally_weighted|long_short|simple|True|21,51.0,27.0,105.0,85.0,85.0
0.3|63|False|504|ME|ME|equally_weighted|long_short|simple|True|21,9.0,77.0,59.0,113.0,39.0
0.3|63|False|756|ME|ME|equally_weighted|long_short|simple|True|21,3.0,111.0,29.0,101.0,35.0
0.3|63|True|126|ME|ME|equally_weighted|long_short|simple|True|21,73.0,23.0,125.0,15.0,13.0
0.3|63|True|252|ME|ME|equally_weighted|long_short|simple|True|21,51.0,27.0,105.0,85.0,85.0
0.3|63|True|504|ME|ME|equally_weighted|long_short|simple|True|21,9.0,77.0,59.0,113.0,39.0
0.3|63|True|756|ME|ME|equally_weighted|long_short|simple|True|21,3.0,111.0,29.0,101.0,35.0
0.3|84|False|126|ME|ME|equally_weighted|long_short|simple|True|21,55.0,17.0,79.0,37.0,1.0
0.3|84|False|252|ME|ME|equally_weighted|long_short|simple|True|21,17.0,41.0,87.0,119.0,47.0
0.3|84|False|504|ME|ME|equally_weighted|long_short|simple|True|21,13.0,105.0,35.0,127.0,37.0
0.3|84|False|756|ME|ME|equally_weighted|long_short|simple|True|21,1.0,115.0,27.0,107.0,9.0
0.3|84|True|126|ME|ME|equally_weighted|long_short|simple|True|21,55.0,17.0,79.0,37.0,1.0
0.3|84|True|252|ME|ME|equally_weighted|long_short|simple|True|21,17.0,41.0,87.0,119.0,47.0
0.3|84|True|504|ME|ME|equally_weighted|long_short|simple|True|21,13.0,105.0,35.0,127.0,37.0
0.3|84|True|756|ME|ME|equally_weighted|long_short|simple|True|21,1.0,115.0,27.0,107.0,9.0
