run_id,config_name,config_type,eval_window,test_start,test_end,quantile,exclude_last_days,window_days,as_zscore,return_type,volatility_scaling,vol_window_days,rebal_freq,hedge_freq,final_nav,sharpe,ir_benchmark,alpha_benchmark,alpha_benchmark_pvalue,geom_avg_xs_r,max_dd,factor_loadings_low_risk,factor_loadings_momentum,factor_loadings_size,factor_loadings_quality,factor_loadings_value,strategy,experiment_group,mode,weighting_scheme,arithm_avg_total_r,arithm_avg_xs_r,geom_avg_total_r,std_xs_r,min_xs_r,max_xs_r,skew,kurtosis,alpha_buy_hold,tracking_error_buy_hold,ir_buy_hold,factor_loadings_spx-rf,tracking_error_benchmark,ttest_pval,levene_pval,timing_ability_coef,timing_ability_pval
a89d572da7c9,finalist_1_q020_ex84_win126,finalist,2022,2022-01-01,2022-12-31,0.2,84,126,False,simple,True,21,ME,ME,1.3475479290573273,1.4933139752317273,1.396725916905298,0.16852543812860898,0.2909181560724532,0.3726052372617916,-0.15483251452560187,-0.46340514240429687,0.9640324269910469,-0.8761445647217788,0.36966030068580885,0.4036137662715407,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.3553113829319143,0.3414079346560521,0.3867332053139323,0.24951567014162046,-0.06726615849955331,0.04133870580994636,-0.429234621480854,2.184810544150482,0.5175803249050581,0.3677707084469817,1.4073451556016816,0.23946998423201799,0.1206574862604454,0.10242719987865032,0.572942681081633,0.050396781109617456,0.8160723354920787
bd2bacd162e7,finalist_4_q020_ex84_win504,finalist,2020,2020-01-01,2020-12-31,0.2,84,504,False,simple,True,21,ME,ME,0.7569943239767648,-0.8833133653042323,-1.935283060770277,-0.31285956115617786,0.05414283966615268,-0.266231585691331,-0.34897149559805063,-0.10759464613308004,0.5438833159953289,-0.5366916797855021,0.6298435807344105,-0.055967341154530004,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.2551068621194335,-0.25964935138981976,-0.2616452097044074,0.3014010612186707,-0.10462743217100445,0.0526890367225471,-0.8354377544790271,4.370215082871233,-0.44111834279774065,0.4297248761709654,-1.026513397893778,0.2881886972053207,0.1616608792264498,0.8395005692911703,0.8054348048715878,0.03835784733573601,0.7881974660735669
bd50e2b01241,finalist_4_q020_ex84_win504,finalist,2021,2021-01-01,2021-12-31,0.2,84,504,False,simple,True,21,ME,ME,0.8093295489826879,-1.1278708462904068,-0.7468376432950252,-0.060268212121015075,0.4306652860154454,-0.2069572369833531,-0.2512247396507867,-0.1703188885273982,-0.06348128436535438,-0.23114554392165212,0.9706309523544623,-0.66481329279802,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.21186966359566928,-0.21186966359566928,-0.2069572369833531,0.18349373748247882,-0.04781800068414255,0.04106025121479018,-0.34408045479497096,2.3624118977861444,-0.5403527253042516,0.20670568069733455,-2.61411647459972,-0.03737899495304961,0.08069787679034701,0.9847180405171341,6.806899491428763e-05,-0.09719796424218324,0.7362034482348534
c3beb5fa6cac,finalist_4_q020_ex84_win504,finalist,2022,2022-01-01,2022-12-31,0.2,84,504,False,simple,True,21,ME,ME,1.0481853336411169,0.2713396047619749,-0.4140674519432992,-0.048179578305003856,0.7615629222160681,0.03880833199111766,-0.09794914647411285,-0.9426814583380208,0.368114024248107,-0.6577038876077352,0.6865031783791622,0.10655079539492227,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.061296204096818734,0.047392755820956645,0.05293630004325833,0.14302494479256425,-0.02308906762641828,0.027481121954917698,0.08460100260138091,-0.29956747270241335,0.18378341963438416,0.2790661465896615,0.6585657983969624,-0.3035139829785285,0.1163568352906941,0.2836227445801073,1.2863711694142025e-10,0.020252060504932556,0.8710651403768133
cb89ec71429f,baseline_1_academic_jt_q010_ex21_win252,baseline_academic,full_oos_2020_2023,2020-01-01,2023-12-31,0.1,21,252,False,simple,True,21,ME,ME,1.1669482108419906,0.061521665821465385,-0.23782562063693372,-0.049193848501245974,0.8134610606152058,0.022980686700745157,-0.48578378292880114,-0.5630413921055579,1.8347484237625167,-0.6120675072211649,0.39195513890723294,0.17396082454912498,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.11002903652045573,0.09290530426893438,0.040251940821825816,0.3735381087930005,-0.18012743646219143,0.13235194079408408,-0.6332007351737433,8.096144055644515,-0.0780503570198039,0.44108681087604923,-0.17695010391443555,0.2027344026649859,0.206848397449767,0.5515743692473064,3.0151631629549424e-25,-0.17610275911026355,0.19903263909137936
d2a34844b398,baseline_1_academic_jt_q010_ex21_win252,baseline_academic,2022,2022-01-01,2022-12-31,0.1,21,252,False,simple,True,21,ME,ME,1.4914491642625674,1.3935448414623177,1.573464504902221,0.2373771514776426,0.27326895949989,0.5357287491102651,-0.2416008181608071,-1.0280695742940567,1.939484417858295,-0.9809972018064442,0.5070279908688984,0.7167250459644696,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.5084490264649865,0.4945455781891243,0.5498567171624058,0.38443596012891673,-0.09405138951216707,0.07071841514868225,-0.31138414612340864,1.2256071616192847,0.6807038367535316,0.4798091302982138,1.4186971313581644,0.4184794093876595,0.1508627304512305,0.09766990807567033,2.487149846829137e-07,-0.34976622596546936,0.2933648870219601
e3e1d64470c3,finalist_2_q030_ex84_win126,finalist,2023,2023-01-01,2023-12-31,0.3,84,126,False,simple,True,21,ME,ME,1.0552057843603428,0.08703899497813478,-0.14005668582497743,-0.008454509342968208,0.9254957057765086,0.008758070823667419,-0.07006400404281789,0.3086613877195178,0.5990613326829064,-0.08282008152021057,0.015987299806105193,0.11741986611481692,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.06367173392265435,0.013271733922654416,0.06085693803120362,0.10062237995587552,-0.022417533718583814,0.013939482244406753,-0.2149411776746408,0.07688719258661303,-0.1674009745452456,0.16596435172202148,-1.0086562132669934,0.2662806782693615,0.06036491077286685,0.8086149701997773,0.00317352244265746,0.09705817089316732,0.561737719624156
e6b3ce8ab042,baseline_2_median_grid_q020_ex63_win756,baseline_median_grid,2022,2022-01-01,2022-12-31,0.2,63,756,False,simple,True,21,ME,ME,0.9846623226464372,-0.27981535601546537,-0.9057313170644276,-0.07895246008674872,0.43339608658604883,-0.030927089438160027,-0.08754496977573561,-0.38399450409200625,0.11656185717627973,-0.5592010532936351,0.845089076214372,-0.2559553525621129,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.010713785497990654,-0.0246172337738527,-0.016799121386019356,0.11052677693804157,-0.02170470196980867,0.028001079950919716,0.045363421774614006,0.5434939556280374,0.11404799820510647,0.2668756748784607,0.4273450484276834,-0.23142482328541308,0.08716984672964839,0.36394558152905315,1.7249379280480585e-19,0.08934302770441202,0.3539851292731648
e800619f33e2,finalist_1_q020_ex84_win126,finalist,full_oos_2020_2023,2020-01-01,2023-12-31,0.2,84,126,False,simple,True,21,ME,ME,1.227442743573885,0.15862651325044028,-0.3415497900618716,-0.05012159012877504,0.6345015052261314,0.03650623546408793,-0.3500598644898385,-0.4406638947167529,1.0511136657975233,-0.32773523153242673,0.49839202653683573,0.2966959695760298,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.07919372363846026,0.06206999138693895,0.05377748958516859,0.23013955684981688,-0.15236103120524458,0.06520715386775922,-1.233982314378189,14.486574983361495,-0.06452480825646112,0.31625807495754377,-0.20402580476442628,0.17385094779206556,0.14674753604648838,0.6409773348740373,0.4406528425386255,-0.01343475409986512,0.8734571628654293
ebed81926b07,baseline_1_academic_jt_q010_ex21_win252,baseline_academic,2023,2023-01-01,2023-12-31,0.1,21,252,False,simple,True,21,ME,ME,0.9933965397258434,-0.24333869970613073,-0.8628097441495688,-0.10439962500573174,0.4794659785924142,-0.059356308223376564,-0.189971341877886,0.412787608753467,1.6070533490792727,-0.5616736774393566,0.03992639794477673,0.3141322902889851,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.02253058719862382,-0.027869412801376156,-0.00725744101584036,0.24392465438115074,-0.05907759093661915,0.04301252363579842,-0.4288426086019719,0.6360266768281502,-0.2355153535922896,0.27989980252749114,-0.8414273660273761,0.5618457936965673,0.12099958967041288,0.7450052890689229,5.181375041420076e-15,0.1348138727436506,0.7395882368279763
ec1bc8273d8a,baseline_1_academic_jt_q010_ex21_win252,baseline_academic,2021,2021-01-01,2021-12-31,0.1,21,252,False,simple,True,21,ME,ME,0.9363053736577417,-0.25417940772860304,0.3406726367602493,0.05374177904362587,0.6767414395602179,-0.06959753837403404,-0.3062276748148581,-0.6493061185385407,1.7857721067576144,-0.12945951466629887,0.7511372307677149,-0.14293022272632339,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.03368223374677896,-0.03368223374677896,-0.06959753837403404,0.2738126545968899,-0.07491153952166874,0.0881839546274017,-0.26913683159918983,5.350782628388661,-0.40299302669493253,0.26267186338968773,-1.5342070577885645,-0.32440518736784113,0.15775196844308637,0.8499547834776862,5.4412113122472285e-11,-0.5128329543607554,0.21406970890679525
ef16d1ec156c,finalist_2_q030_ex84_win126,finalist,2021,2021-01-01,2021-12-31,0.3,84,126,False,simple,True,21,ME,ME,1.0504575747746856,0.38685144152325984,0.7098854887748113,0.07257963974887827,0.49537775318284033,0.05543844387787322,-0.1198833060498905,-0.6648584289468049,0.7473484520503688,-0.2956519995652257,0.13089745583792828,0.30225080093162415,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,0.06347279743350266,0.06347279743350266,0.05543844387787322,0.14330680444043253,-0.02553864171161857,0.029446348100679032,-0.0710587204243546,0.14514676860165743,-0.27795704444302527,0.16514809037436545,-1.683077556712519,-0.18433005966450144,0.10224133454839765,0.8739313096533172,0.025929778737519397,-0.14352227592425224,0.5144826696877651
fb09b391d8cb,finalist_2_q030_ex84_win126,finalist,2020,2020-01-01,2020-12-31,0.3,84,126,False,simple,True,21,ME,ME,0.796543692434163,-0.834973417539544,-1.8377131824846376,-0.284972614865209,0.0772992924872277,-0.22410471710295554,-0.3146143344270217,-0.5146438089739226,0.9264720780709257,-0.12619315577151724,0.8409352414600318,0.3679845153951452,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.20932203253264062,-0.2138645218030269,-0.21951834111603197,0.2683974272658112,-0.12466635188365538,0.05662768786283001,-1.4905156048097792,12.67312207097452,-0.3989914742093652,0.4126804607543887,-0.9668290897029636,0.17006291410562874,0.155069146579184,0.8263220740753585,0.054576378726612036,0.006076601991952781,0.9619069071182869
fe7c9c5d9a17,baseline_1_academic_jt_q010_ex21_win252,baseline_academic,2020,2020-01-01,2020-12-31,0.1,21,252,False,simple,True,21,ME,ME,0.8014292602256713,-0.410764617325166,-0.7263175063147254,-0.2007120073380102,0.5294298983919314,-0.21888754415444944,-0.48578378292880114,-0.5374049413293421,2.341435482247703,-0.1594875552496347,-0.1338930341902178,0.28170295883957414,SystematicMomentum,oos_finalists_plus_baselines,long_short,equally_weighted,-0.09483294751362335,-0.09937543678400966,-0.21430116816752587,0.5328782833823672,-0.18012743646219143,0.13235194079408408,-0.7247251782892774,6.476432413621636,-0.3937743012608591,0.6404496623035555,-0.6148403605125502,0.13653890973168806,0.2763419655907872,0.6856804605244313,9.720528998347985e-06,-0.2147538193176723,0.40030924511563487
