variant,signal_type,year,n_days,final_nav,geom_avg_total_r,geom_avg_excess_r,sharpe,ir,max_dd,mean_exposure,switches,tc_drag
internal_binary_vol63_above_is_q90,internal_portfolio,2016,233,0.9118264072667202,-0.09501120819155873,-0.09501120819155873,-0.8773640455513457,-0.8773640455513457,-0.1418361929134473,0.721030042918455,2,0.005
internal_binary_vol63_above_is_q90,internal_portfolio,2017,232,1.0018784911481033,0.002040595158224079,0.002040595158224079,0.0642841254950331,0.0642841254950331,-0.04962296910749009,1.0,0,0.0
internal_binary_vol63_above_is_q90,internal_portfolio,2018,231,1.0790068135419166,0.08649163234252844,0.059461316851323165,1.1707564803218662,0.8262257902280294,-0.03658260136398983,1.0,0,0.0
internal_binary_vol63_above_is_q90,internal_portfolio,2019,232,1.0215518124878968,0.023431332692930518,0.002855365298466639,0.26641357135937144,0.08079049679085988,-0.14511714533996156,0.8060344827586207,12,0.03
internal_cooldown_21_after_q05_daily_loss,internal_portfolio,2015,232,1.0616002763018462,0.06708506640940137,0.06708506640940137,1.0152645014093593,1.0152645014093593,-0.04860402829169164,0.33620689655172414,7,0.0175
internal_cooldown_21_after_q05_daily_loss,internal_portfolio,2016,233,0.9987864311385609,-0.0013124644439117539,-0.0013124644439117539,-0.011833491732609244,-0.011833491732609244,-0.04822368215220196,0.26180257510729615,3,0.0075
internal_cooldown_21_after_q05_daily_loss,internal_portfolio,2017,232,0.9814396606026595,-0.020144148065339262,-0.020144148065339262,-0.3478366694455182,-0.3478366694455182,-0.04630387562583316,0.6982758620689655,5,0.0125
internal_cooldown_21_after_q05_daily_loss,internal_portfolio,2018,231,1.0472719404182969,0.05167864550628454,0.03190874128282295,0.864495405904425,0.5504311751822127,-0.034485870829237486,0.7532467532467533,5,0.0125
internal_cooldown_21_after_q05_daily_loss,internal_portfolio,2019,232,1.0205118305429548,0.022299668428289676,0.010489662262897381,0.37102932328570287,0.19269222997424748,-0.09142319257103881,0.46120689655172414,9,0.0225
internal_cooldown_42_after_q01_daily_loss,internal_portfolio,2015,232,1.0928253865351019,0.10122006992441301,0.10122006992441301,1.1740000787713385,1.1740000787713385,-0.07293403387414588,0.6379310344827587,2,0.005
internal_cooldown_42_after_q01_daily_loss,internal_portfolio,2016,233,0.9580667140082653,-0.04527418174137132,-0.04527418174137132,-0.44134421684290404,-0.44134421684290404,-0.0983172101795261,0.7296137339055794,2,0.005
internal_cooldown_42_after_q01_daily_loss,internal_portfolio,2017,232,1.0042631409870848,0.0046315029491033055,0.0046315029491033055,0.10307395686968084,0.10307395686968084,-0.04049150489440956,0.9094827586206896,1,0.0025
internal_cooldown_42_after_q01_daily_loss,internal_portfolio,2018,231,1.0561993414339546,0.06146238780589952,0.03742640694408417,0.8633046516076319,0.5456129954935534,-0.03658260136398883,0.9090909090909091,1,0.0025
internal_cooldown_42_after_q01_daily_loss,internal_portfolio,2019,232,1.113348733556984,0.12370199565240325,0.10519341925487824,1.4101032893841028,1.2159783367400925,-0.06829714172073909,0.6594827586206896,1,0.0025
internal_inverse_vol21_to_is_median,internal_portfolio,2015,232,1.0961610791879735,0.10487163469977512,0.10487163469977512,1.127097618721898,1.127097618721898,-0.06121115399892252,0.7971156221101331,170,0.010550954601384891
internal_inverse_vol21_to_is_median,internal_portfolio,2016,233,0.9334662918245561,-0.07175988823330848,-0.07175988823330848,-0.8121100245090475,-0.8121100245090475,-0.11498015605301937,0.7205204048486475,171,0.009417772074805524
internal_inverse_vol21_to_is_median,internal_portfolio,2017,232,1.0041066664261746,0.004461478001445807,0.004461478001445807,0.099492730882548,0.099492730882548,-0.04329304834173742,0.967005435418121,30,0.0013225900700095646
internal_inverse_vol21_to_is_median,internal_portfolio,2018,231,1.0712780265630908,0.07800451188320334,0.05205646646510864,1.1110044604289775,0.7618703491222291,-0.038433341279573985,0.9670946402936408,58,0.00463611922116967
internal_inverse_vol21_to_is_median,internal_portfolio,2019,232,1.0468231856122419,0.050960882135618446,0.02956079123359112,0.5589363636849716,0.347737482673488,-0.10432593834307335,0.8164460978298002,159,0.012243758010173918
internal_inverse_vol63_to_is_median,internal_portfolio,2015,232,1.0980456101936522,0.10693504433556744,0.10693504433556744,1.0722620728487164,1.0722620728487164,-0.07293403387414588,0.8457065371646548,165,0.0037584731064677695
internal_inverse_vol63_to_is_median,internal_portfolio,2016,233,0.9343029377264432,-0.07086005119438754,-0.07086005119438754,-0.72084491822586,-0.72084491822586,-0.11827840115101629,0.7189454007136392,171,0.0038006293088422606
internal_inverse_vol63_to_is_median,internal_portfolio,2017,232,1.0009879246215236,0.0010731362187972326,0.0010731362187972326,0.05080995190905563,0.05080995190905563,-0.04962296910749009,0.9956807878992586,18,0.00039804801649868384
internal_inverse_vol63_to_is_median,internal_portfolio,2018,231,1.076073902039552,0.08327029644181927,0.05647260084344108,1.1338488703712986,0.7900777560879181,-0.03660227051810838,0.9942537066677642,57,0.0008959758179784555
internal_inverse_vol63_to_is_median,internal_portfolio,2019,232,1.0899718438578576,0.09809707449066019,0.07515964951024534,1.0027703908338639,0.7876747473416249,-0.09831418156201854,0.8379824427914095,144,0.0033016686947672158
